"numeric_part","stock_code","description","total_qty_variant","total_qty_family"
44242,"44242A","LILAC FEATHERS CURTAIN",14,283
44242,"44242B","PINK FEATHERS CURTAIN",109,283
44242,"44242C","",160,283
44266,"44266F","",-2,-2
45007,"45007B","",-43,-43
45008,"45008C","",-38,25
45008,"45008C","DECORATIVE NET CANOPY CREAM",83,25
45008,"45008C","dirty, torn, thrown away.",-15,25
45008,"45008L","",-5,25
46000,"46000M","",-169,8965
46000,"46000M","Dotcom",-100,8965
46000,"46000M","Dotcom sales",-200,8965
46000,"46000M","POLYESTER FILLER PAD 45x45cm",4204,8965
46000,"46000P","",5,8965
46000,"46000P","POLYESTER FILLER PAD 65CMx65CM",222,8965
46000,"46000R","dotcom sales",-28,8965
46000,"46000R","entry error",-100,8965
46000,"46000R","POLYESTER FILLER PAD 45x30cm",309,8965
46000,"46000S","",-20,8965
46000,"46000S","Dotcom",-300,8965
46000,"46000S","dotcom sales",-90,8965
46000,"46000S","Dotcom sales",-200,8965
46000,"46000S","POLYESTER FILLER PAD 40x40cm",5206,8965
46000,"46000U","",-15,8965
46000,"46000U","check",10,8965
46000,"46000U","dotcom",-40,8965
46000,"46000U","POLYESTER FILLER PAD 30CMx30CM",271,8965
46037,"46037A","",-5,1
46037,"46037A","PINK CANVAS DES CUSHION COVER ",6,1
46115,"46115B","",286,578
46115,"46115B","GREEN POP ART MAO CUSHION COVER ",292,578
46126,"46126A","",-23,294
46126,"46126A","ELVIS WALLHANGING / CURTAIN",317,294
46137,"46137D","",-25,20
46137,"46137D","GREEN CHENILLE SHAGGY RUG",45,20
46138,"46138B","BLUE CHENILLE SHAGGY CUSHION COVER ",58,59
46138,"46138D","GREEN CHENILLE SHAGGY C/COVER",1,59
46775,"46775A","",1,300
46775,"46775A","BUBBLE GUM CHUNKY KNITTED THROW ",82,300
46775,"46775B","",-17,300
46775,"46775B","BERRIES CHUNKY KNITTED THROW ",5,300
46775,"46775D","",-9,300
46775,"46775D","SUNSET COLOUR CHUNKY KNITTED THROW",150,300
46775,"46775E","",-13,300
46775,"46775E","CANDY POP CHUNKY KNITTED THROW ",101,300
46776,"46776a","WOVEN BUBBLE GUM CUSHION COVER",5,1960
46776,"46776A","WOVEN BUBBLE GUM CUSHION COVER",408,1960
46776,"46776b","WOVEN BERRIES CUSHION COVER ",1,1960
46776,"46776B","WOVEN BERRIES CUSHION COVER ",432,1960
46776,"46776C","WOVEN FROST CUSHION COVER",260,1960
46776,"46776D","WOVEN SUNSET CUSHION COVER ",152,1960
46776,"46776e","WOVEN CANDY CUSHION COVER ",1,1960
46776,"46776E","WOVEN CANDY CUSHION COVER ",207,1960
46776,"46776f","WOVEN ROSE GARDEN CUSHION COVER ",7,1960
46776,"46776F","WOVEN ROSE GARDEN CUSHION COVER ",487,1960
47013,"47013A","damaged",-2,278
47013,"47013A","WINE BOTTLE DRESSING LT.BLUE",141,278
47013,"47013C","",4,278
47013,"47013C","WINE BOTTLE DRESSING DARK BLUE",135,278
47021,"47021G","",236,952
47021,"47021G","SET/6 BEAD COASTERS GAUZE BAG GOLD",716,952
47284,"47284V","",-11,-11
47285,"47285B","",-10,-10
47310,"47310M","SMALL POP BOX FUNKY MONKEY",258,747
47310,"47310M","SMALL POP BOX,FUNKY MONKEY",489,747
47340,"47340A","",-1,3
47340,"47340B","",4,3
47341,"47341A","",-7,70
47341,"47341A","FUSCHIA TABLE RUN FLOWER ",29,70
47341,"47341B","BLUE TABLE RUN FLOWER",48,70
47343,"47343A","",-16,193
47343,"47343A","FUSCHIA FLOWER PURSE WITH BEADS",209,193
47344,"47344B","",-16,38
47344,"47344B","BLUE FLOWER DES PURSE",54,38
47347,"47347A","",2,120
47347,"47347B","",-122,120
47347,"47347B","BLUE FLOWER T-LIGHT HOLDER",240,120
47348,"47348A","FUSCHIA VOILE POINTY SHOE DEC",104,104
47351,"47351B","BLUE  VOILE LAMPSHADE",50,50
47367,"47367B","PAIR PADDED HANGERS PINK CHECK",245,245
47369,"47369A","PINK GREEN EMBROIDERY COSMETIC BAG",52,110
47369,"47369B","BLUE GREEN EMBROIDERY COSMETIC BAG",58,110
47503,"47503A","",2646,21074
47503,"47503A","ASS FLORAL PRINT MULTI SCREWDRIVER",2842,21074
47503,"47503A","check",121,21074
47503,"47503E","",-35,21074
47503,"47503E","ASS FLORAL PRINT SCISSORS",6842,21074
47503,"47503F","",2572,21074
47503,"47503F","ASS FLORAL PRINT TORCH",2570,21074
47503,"47503G","",-267,21074
47503,"47503G","ASS FLORAL PRINT TAPE MEASURE",284,21074
47503,"47503H","",38,21074
47503,"47503H","ASS FLORAL PRINT SPIRIT LEVEL ",163,21074
47503,"47503H","check",-24,21074
47503,"47503H","found",66,21074
47503,"47503J","SET/3 FLORAL GARDEN TOOLS IN BAG",328,21074
47503,"47503K","",-248,21074
47503,"47503K","ASSORTED FLORAL SECATEURS",3176,21074
47504,"47504E","",-316,2209
47504,"47504E","ENGLISH ROSE SCISSORS",4387,2209
47504,"47504F","",-2916,2209
47504,"47504F","ENGLISH ROSE TORCH",528,2209
47504,"47504G","",-3116,2209
47504,"47504G","ENGLISH ROSE TAPE MEASURE",266,2209
47504,"47504H","ENGLISH ROSE SPIRIT LEVEL ",1027,2209
47504,"47504J","",-79,2209
47504,"47504J","ENGLISH ROSE SET/3 GARDEN TOOLS",1,2209
47504,"47504K","",-224,2209
47504,"47504K","ENGLISH ROSE GARDEN SECATEURS",2651,2209
47518,"47518f","ICON PLACEMAT POP ART ELVIS",9,912
47518,"47518F","ICON PLACEMAT POP ART ELVIS",903,912
47552,"47552A","",-1,10
47552,"47552A","DOTS IRONING BOARD COVER",11,10
47556,"47556b","TEA TIME TEA TOWELS ",4,6200
47556,"47556B","",-150,6200
47556,"47556B","did  a credit  and did not tick ret",1300,6200
47556,"47556B","TEA TIME TEA TOWELS ",5046,6200
47559,"47559b","TEA TIME OVEN GLOVE",171,5265
47559,"47559B","",-84,5265
47559,"47559B","TEA TIME OVEN GLOVE",5178,5265
47563,"47563A","RETRO LONGBOARD IRONING BOARD COVER",343,341
47563,"47563B","",-10,341
47563,"47563B","WAVELINE SURF IRONING BOARD COVER",8,341
47566,"47566b","TEA TIME PARTY BUNTING",217,2500
47566,"47566B","",-140,2500
47566,"47566B","correct previous adjustment",144,2500
47566,"47566B","incorrectly credited C550456 see 47",0,2500
47566,"47566B","missing",-480,2500
47566,"47566B","reverse previous adjustment",-1300,2500
47566,"47566B","stock credited from royal yacht inc",-144,2500
47566,"47566B","TEA TIME PARTY BUNTING",4203,2500
47567,"47567b","TEA TIME KITCHEN APRON",3,2141
47567,"47567B","",150,2141
47567,"47567B","missing",-198,2141
47567,"47567B","TEA TIME KITCHEN APRON",2186,2141
47570,"47570b","TEA TIME TABLE CLOTH",9,917
47570,"47570B","",-69,917
47570,"47570B","TEA TIME TABLE CLOTH",977,917
47574,"47574A","check",-61,552
47574,"47574A","ENGLISH ROSE SCENTED HANGING FLOWER",576,552
47574,"47574B","",-13,552
47574,"47574B","ENGLISH ROSE SCENTED HANGING HEART",50,552
47578,"47578A","ENGLISH ROSE SMALL SCENTED FLOWER",324,324
47581,"47581A","",-16,24
47581,"47581B","",-6,24
47581,"47581B","FAIRY CAKE WICKER PICNIC BASKET ",46,24
47583,"47583A","",-5,79
47583,"47583A","SET OF 3 WICKER BASKET ROSE",69,79
47583,"47583B","",-12,79
47583,"47583B","SET OF 3 WICKER BASKET TEA AND CAKE",27,79
47585,"47585A","PINK FAIRY CAKE CUSHION COVER",1073,1073
47586,"47586A","PINK FAIRY CAKE CUSHION COVER",204,204
47587,"47587A","",1040,1486
47587,"47587A","12'S SOLD AS 1?",-1060,1486
47587,"47587A","PINK FAIRY CAKE COASTER",1506,1486
47590,"47590a","BLUE HAPPY BIRTHDAY BUNTING",1,10277
47590,"47590A","BLUE HAPPY BIRTHDAY BUNTING",4641,10277
47590,"47590b","PINK HAPPY BIRTHDAY BUNTING",13,10277
47590,"47590B","",-42,10277
47590,"47590B","check",-57,10277
47590,"47590B","PINK HAPPY BIRTHDAY BUNTING",5721,10277
47591,"47591A","",-6,11465
47591,"47591A","CAROUSEL CHILDRENS APRON",29,11465
47591,"47591A","CAROUSEL DES CHILD'S APRON",127,11465
47591,"47591b","SCOTTIES CHILDRENS APRON",8,11465
47591,"47591B","",2,11465
47591,"47591B","?",-207,11465
47591,"47591B","SCOTTIES CHILDRENS APRON",811,11465
47591,"47591B","SCOTTIES DES CHILD'S APRON",303,11465
47591,"47591c","BLUE FAIRY CAKE CHILD'S APRON",4,11465
47591,"47591C","",46,11465
47591,"47591C","BLUE FAIRY CAKE CHILD'S APRON",1047,11465
47591,"47591C","BLUE FAIRY CAKE CHILDRENS APRON",4,11465
47591,"47591C","missing",-300,11465
47591,"47591d","PINK FAIRY CAKE CHILDRENS APRON",290,11465
47591,"47591D","",-201,11465
47591,"47591D","PINK FAIRY CAKE CHILD'S APRON",3440,11465
47591,"47591D","PINK FAIRY CAKE CHILDRENS APRON",6068,11465
47592,"47592A","",-28,377
47592,"47592A","CAROUSEL CHILDRENS OVERALL",74,377
47592,"47592A","CAROUSEL DES CHILD'S OVERALL",257,377
47592,"47592B","",7,377
47592,"47592B","SCOTTIE DOGS CHILDRENS OVERALL",3,377
47592,"47592B","SCOTTIES DESIGN CHILD'S OVERALL",64,377
47593,"47593a","CAROUSEL DESIGN BABY BIB",1,2692
47593,"47593A","",2,2692
47593,"47593A","CAROUSEL DESIGN BABY BIB",164,2692
47593,"47593A","CAROUSEL PONIES BABY BIB",139,2692
47593,"47593A","found",13,2692
47593,"47593b","SCOTTIE DOGS BABY BIB",6,2692
47593,"47593B","SCOTTIE DOGS BABY BIB",2172,2692
47593,"47593B","SCOTTIES DESIGN BABY BIB",195,2692
47594,"47594a","CAROUSEL DESIGN WASHBAG",1,710
47594,"47594A","CAROUSEL DESIGN WASHBAG",322,710
47594,"47594B","SCOTTIES DESIGN WASHBAG",387,710
47595,"47595B","",-9,-9
47599,"47599A","",-104,9144
47599,"47599A","PINK PARTY BAGS",5886,9144
47599,"47599B","BLUE PARTY BAGS ",3362,9144
48173,"48173A","",-2,4125
48173,"48173A","DOOR MAT BLUE FLOCK",1,4125
48173,"48173c","DOOR MAT BLACK FLOCK ",16,4125
48173,"48173c","DOORMAT BLACK FLOCK ",62,4125
48173,"48173C","",-54,4125
48173,"48173C","damaged",13,4125
48173,"48173C","DOOR MAT BLACK FLOCK ",1234,4125
48173,"48173C","DOORMAT BLACK FLOCK ",2864,4125
48173,"48173C","MIA",-9,4125
49031,"49031B","CHROME EURO HOOK 20cm",400,400
51012,"51012C","",11,143
51012,"51012C","FEATHER DUSTER, COAL BLACK",168,143
51012,"51012L","",-45,143
51012,"51012L","FEATHER DUSTER, LIGHT PINK",9,143
51014,"51014A","FEATHER PEN,HOT PINK",6563,13932
51014,"51014c","FEATHER PEN,COAL BLACK",1,13932
51014,"51014C","FEATHER PEN,COAL BLACK",4079,13932
51014,"51014L","FEATHER PEN,LIGHT PINK",3289,13932
51020,"51020A","adjustment",41,2496
51020,"51020A","SUMMER FUN DESIGN SHOWER CAP",1303,2496
51020,"51020B","",120,2496
51020,"51020B","adjust",-53,2496
51020,"51020B","STRIPY DESIGN SHOWER CAP",1085,2496
62043,"62043B","",6,59
62043,"62043B","BLUE CHECK BAG W HANDLE 34X20CM",53,59
62074,"62074B","ELEPHANT CLIP W SUCTION CUP",38,38
62086,"62086A","PINK RETRO BIG FLOWER BAG",113,113
62094,"62094B","",-92,214
62094,"62094B","TURQ ICE CREAM BUM BAG ",306,214
62095,"62095B","",-28,264
62095,"62095B","TURQOISE ICE CREAM SUNHAT",292,264
62096,"62096A","",-88,551
62096,"62096A","PINK/YELLOW FLOWERS HANDBAG",395,551
62096,"62096B","",-13,551
62096,"62096B","PURPLE/TURQ FLOWERS HANDBAG",257,551
62097,"62097A","",3,3
62097,"62097A","PINK STRIPES SHOULDER BAG",3,3
62097,"62097B","",-14,3
62097,"62097B","BLUE STRIPES SHOULDER BAG",11,3
70037,"70037L","",-3,-3
71028,"71028A","",1,386
71028,"71028B","",-109,386
71028,"71028B","SILVER BLUE EGG T-LIGHT HOLDER",494,386
71101,"71101A","",-43,739
71101,"71101A","ANGEL ON KNEES METAL POLE 100CM H",6,739
71101,"71101E","STANDING FAIRY POLE SUPPORT ",776,739
71263,"71263G","",39,39
71406,"71406B","",-81,142
71406,"71406C","BLACK ORANGE SQUEEZER",223,142
71409,"71409B","",4,4
71434,"71434B","",-13,-11
71434,"71434B","BLACK RND BULLETKEEP CLEAN BIN",2,-11
71495,"71495A","CD WALL TIDY BLUE OFFICE",224,530
71495,"71495B","CD WALL TIDY RED FLOWERS",306,530
71496,"71496A","A4 WALL TIDY BLUE OFFICE",260,275
71496,"71496B","A4 WALL TIDY RED FLOWERS",15,275
72023,"72023F","",-82,558
72023,"72023F","RED ORGANIC CANDLE IN GLASS",640,558
72024,"72024HC","",-3669,-3447
72024,"72024U","",2,-3447
72024,"72024U","LILAC VOTIVE CANDLE",220,-3447
72038,"72038B","damaged",-244,-234
72038,"72038P","damages",-990,-234
72038,"72038P","PRICE'S CANDLE PEACH",1000,-234
72045,"72045A","",-1,571
72045,"72045D","",537,571
72045,"72045D","ROSES ON BLUE TEACUP CANDLE ",35,571
72051,"72051S","",-98,209
72051,"72051S","BAG OF SILVER STONES",307,209
72083,"72083A","STRAWBERY SWIRL FLARE CANDLE",24,24
72084,"72084B","",-71,-69
72084,"72084B","CHOCOLATE ICE CREAM CANDLE",2,-69
72140,"72140D","",-6,-4981
72140,"72140E","BEST DAD CANDLE LETTERS",218,-4981
72140,"72140F","HAPPY ANNIVERSARY CANDLE LETTERS",175,-4981
72140,"72140F","throw away",-5368,-4981
72225,"72225C","",-226,27
72225,"72225C","?",-1609,27
72225,"72225C","LAVENDER SCENT CAKE CANDLE",1878,27
72225,"72225D","",-12,27
72225,"72225D","?",-966,27
72225,"72225D","VANILLA SCENT CAKE CANDLE ",962,27
72226,"72226D","",-106,-106
72331,"72331R","",-14,-14
72348,"72348B","",-4,-4
72349,"72349b","SET/6 PURPLE BUTTERFLY T-LIGHTS",218,2231
72349,"72349B","SET/6 PURPLE BUTTERFLY T-LIGHTS",2013,2231
72351,"72351a","SET/6 TURQUOISE BUTTERFLY T-LIGHTS",40,9462
72351,"72351A","SET/6 TURQUOISE BUTTERFLY T-LIGHTS",3728,9462
72351,"72351B","SET/6 PINK  BUTTERFLY T-LIGHTS",5694,9462
72369,"72369A","PINK CLEAR GLASS CANDLE PLATE",67,67
72529,"72529w","WHITE ADVENT CANDLE",1,308
72529,"72529W","",-83,308
72529,"72529W","WHITE ADVENT CANDLE",390,308
72606,"72606A","",-45,181
72606,"72606A","BROWN ANTIQUE CUBE CANDLE",226,181
72620,"72620A","",-5,-5
72655,"72655C","",8,8
72671,"72671B","",-7,-7
72697,"72697A","",-32,-32
72739,"72739B","",-56,306
72739,"72739B","discoloured",-70,306
72739,"72739B","WHITE CHOCOLATE SCENT CANDLE",394,306
72739,"72739C","",-199,306
72739,"72739C","DARK CHOCOLATE SCENTCANDLE",301,306
72739,"72739C","discoloured",-64,306
72740,"72740A","",-43,-53
72740,"72740A","LARGE STRAWBERRY CHOCOLATE CANDLE",65,-53
72740,"72740B","",-76,-53
72740,"72740B","LARGE WHITE CHOCOLATE CANDLE",1,-53
72750,"72750A","damages",-54,1105
72750,"72750A","F.FAIRY S/3 CANDLE/GLASS,LILY/VALLY",177,1105
72750,"72750A","FLOWER FAIRY SET OF 3 LILY CANDLES",204,1105
72750,"72750B","",-44,1105
72750,"72750B","F.FAIRY S/3 CANDLE/GLASS,LAVENDER",193,1105
72750,"72750B","FLOWER FAIRY SET 3 CANDLES LAVENDER",285,1105
72750,"72750C","",10,1105
72750,"72750C","F.FAIRY S/3 CANDLE/GLASS, ROSE",232,1105
72750,"72750D","",-8,1105
72750,"72750D","F.FAIRY S/3 CANDLE/GLASS",110,1105
72751,"72751A","",-11,-62
72751,"72751A","F.FAIRY S/3 SML CANDLE,LILY/VALLEY",1,-62
72751,"72751B","",-13,-62
72751,"72751B","F.FAIRY S/3 SML CANDLE, LAVENDER",1,-62
72751,"72751C","",-21,-62
72751,"72751C","F.FAIRY S/3 SML CANDLE, ROSE",1,-62
72751,"72751D","",-20,-62
72752,"72752A","",-18,-105
72752,"72752A","F.FAIRY,CANDLE IN GLASS,LILY/VALLEY",1,-105
72752,"72752B","",-21,-105
72752,"72752B","F.FAIRY,CANDLE IN GLASS,LAVENDER",3,-105
72752,"72752C","",-24,-105
72752,"72752D","",-46,-105
72753,"72753A","",-2,884
72753,"72753A","S/3 FLWR FAIRY LILLY CANDLES",315,884
72753,"72753B","",-23,884
72753,"72753B","S/3 FLWR FAIRY LAVENDER CANDLES",445,884
72753,"72753C","",-7,884
72753,"72753C","S/3 FLWR FAIRY ROSE CANDLES",43,884
72753,"72753D","",-15,884
72753,"72753D","S/3 FLWR FAIRY SUMMER CANDLES",128,884
72754,"72754A","damaged",-62,241
72754,"72754A","FLOWER FAIRY POTPOURRI CUSHION LILY",292,241
72754,"72754B","",-44,241
72754,"72754B","F FAIRY POTPOURRI CUSHIONS LAVENDER",170,241
72754,"72754C","",-9,241
72754,"72754D","",-107,241
72754,"72754D","F FAIRY POTPOURRI CUSHIONS SUMMER",1,241
72755,"72755A","",-1,821
72755,"72755B","",-23,821
72755,"72755C","",-117,821
72755,"72755C","FLOWER FAIRY OIL BURNER SET ROSE",581,821
72755,"72755D","",-22,821
72755,"72755D","FLOWER FAIRY OIL BURNER SET SUMMER",533,821
72755,"72755D","missing",-130,821
72760,"72760B","",-56,1663
72760,"72760B","VINTAGE CREAM 3 BASKET CAKE STAND",1719,1663
72771,"72771B","",-87,92
72771,"72771B","BURG FLOCK GOLD CUP/CANDLE ",129,92
72771,"72771C","",-4,92
72771,"72771C","BLACK FLOCK GOLD CANDLE",54,92
72785,"72785A","",7,25
72785,"72785A","S/4 CONTEMPORY PINK ROSEBUD CANDLES",8,25
72785,"72785B","",1,25
72785,"72785B","S/4 CONTEMPORY RED ROSEBUD CANDLES",9,25
72796,"72796A","",-12,27
72796,"72796A","S/3 ENGLISH LAVENDER SQU CANDLE",11,27
72796,"72796B","",4,27
72796,"72796B","S/3 FRENCH VANILLA SQU CANDLE",27,27
72796,"72796C","",-4,27
72796,"72796C","S/3 ROSE GARDEN SCENT SQU CANDLE",1,27
72798,"72798A","",-8,7
72798,"72798B","",-2,7
72798,"72798C","",-12,7
72798,"72798C","SET/4 GARDEN ROSE DINNER CANDLE",29,7
72799,"72799A","",16,3826
72799,"72799A","BLACK PILLAR CANDLE SILVER FLOCK",612,3826
72799,"72799B","",-23,3826
72799,"72799B","PURPLE PILLAR CANDLE BLACK FLOCK",322,3826
72799,"72799C","PINK PILLAR CANDLE SILVER FLOCK",471,3826
72799,"72799D","",12,3826
72799,"72799D","BLUE PILLAR CANDLE SILVER FLOCK",78,3826
72799,"72799E","IVORY PILLAR CANDLE SILVER FLOCK",1253,3826
72799,"72799F","",-51,3826
72799,"72799F","IVORY PILLAR CANDLE GOLD FLOCK",1136,3826
72800,"72800A","",-147,5093
72800,"72800A","S/4 BLACK DINNER CANDLE SILVER FLOC",677,5093
72800,"72800B"," 4 PURPLE FLOCK DINNER CANDLES",351,5093
72800,"72800B","S/4 PURPLE DINNER CANDLE BLK FLOCK",649,5093
72800,"72800C","4 PINK DINNER CANDLE SILVER FLOCK",268,5093
72800,"72800C","S/4 PINK DINNER CANDLE SILVER FLOCK",394,5093
72800,"72800D","",-15,5093
72800,"72800D","4 BLUE DINNER CANDLES SILVER FLOCK",226,5093
72800,"72800D","S/4 BLUE DINNER CANDLE SILVER FLOCK",423,5093
72800,"72800E","4 IVORY DINNER CANDLES SILVER FLOCK",1447,5093
72800,"72800F","",-5,5093
72800,"72800F","4 IVORY DINNER CANDLES GOLD FLOCK",825,5093
72801,"72801c","4 ROSE PINK DINNER CANDLES",42,3699
72801,"72801c","S/4 ROSE PINK DINNER CANDLES",20,3699
72801,"72801C","4 ROSE PINK DINNER CANDLES",549,3699
72801,"72801C","check",-10,3699
72801,"72801C","S/4 ROSE PINK DINNER CANDLES",159,3699
72801,"72801d","4 SKY BLUE DINNER CANDLES",88,3699
72801,"72801d","S/4 SKY BLUE DINNER CANDLES",15,3699
72801,"72801D","4 SKY BLUE DINNER CANDLES",394,3699
72801,"72801D","S/4 SKY BLUE DINNER CANDLES",172,3699
72801,"72801e","4 FESTIVE GREEN DINNER CANDLES",2,3699
72801,"72801e","S/4 FESTIVE GREEN DINNER CANDLES",5,3699
72801,"72801E","",-65,3699
72801,"72801E","4 FESTIVE GREEN DINNER CANDLES",51,3699
72801,"72801E","S/4 FESTIVE GREEN DINNER CANDLES",718,3699
72801,"72801F","",-7,3699
72801,"72801F","S/4 FESTIVE RED DINNER CANDLES",234,3699
72801,"72801g","4 BURGUNDY WINE DINNER CANDLES",8,3699
72801,"72801g","S/4 BURGUNDY WINE DINNER CANDLES",2,3699
72801,"72801G","",-3,3699
72801,"72801G","4 BURGUNDY WINE DINNER CANDLES",551,3699
72801,"72801G","S/4 BURGUNDY WINE DINNER CANDLES",786,3699
72801,"72801H","",-12,3699
72802,"72802a","ROSE SCENT CANDLE IN JEWELLED BOX",9,3045
72802,"72802A","?",-50,3045
72802,"72802A","Had been put aside.",54,3045
72802,"72802A","ROSE SCENT CANDLE IN JEWELLED BOX",901,3045
72802,"72802A","Wet pallet-thrown away",-306,3045
72802,"72802B","check",-290,3045
72802,"72802B","OCEAN SCENT CANDLE IN JEWELLED BOX",1132,3045
72802,"72802c","VANILLA SCENT CANDLE JEWELLED BOX",1,3045
72802,"72802C","",1,3045
72802,"72802C","check",-75,3045
72802,"72802C","damages",-54,3045
72802,"72802C","VANILLA SCENT CANDLE JEWELLED BOX",1722,3045
72803,"72803A","?",117,854
72803,"72803A","damages",-160,854
72803,"72803A","ROSE SCENT CANDLE JEWELLED DRAWER",729,854
72803,"72803b","OCEAN SCENT CANDLE JEWELLED DRAWER",2,854
72803,"72803B","",74,854
72803,"72803B","OCEAN SCENT CANDLE JEWELLED DRAWER",92,854
72807,"72807a","SET/3 ROSE CANDLE IN JEWELLED BOX",9,1298
72807,"72807A","???missing",-224,1298
72807,"72807A","AMAZON",1,1298
72807,"72807A","damages",-56,1298
72807,"72807A","SET/3 ROSE CANDLE IN JEWELLED BOX",955,1298
72807,"72807A","wet pallet",-504,1298
72807,"72807b","SET/3 OCEAN SCENT CANDLE JEWEL BOX",26,1298
72807,"72807B","????missing",-124,1298
72807,"72807B","damages",-101,1298
72807,"72807B","SET/3 OCEAN SCENT CANDLE JEWEL BOX",1065,1298
72807,"72807B","wet pallet",-696,1298
72807,"72807c","SET/3 VANILLA SCENTED CANDLE IN BOX",60,1298
72807,"72807C","???missing",-428,1298
72807,"72807C","damages",-149,1298
72807,"72807C","SET/3 VANILLA SCENTED CANDLE IN BOX",1872,1298
72807,"72807C","wet pallet",-408,1298
75013,"75013B","",124,518
75013,"75013B","STRING OF 8 BUTTERFLIES,PINK",394,518
75049,"75049L","",3,13093
75049,"75049L","LARGE CIRCULAR MIRROR MOBILE",13090,13093
75149,"75149N","",2,-120
75149,"75149N","missing",-394,-120
75149,"75149N","STRING CRYSTALS NATURAL",272,-120
77101,"77101A","",-83,1005
77101,"77101A","UNION FLAG WINDSOCK",1088,1005
78034,"78034B","BLUE NETTING STORAGE HANGER",16,16
79003,"79003B","",-6,-6
79023,"79023B","",-57,-57
79026,"79026B","",-23,47
79026,"79026B","S/4 ICON COASTER,ELVIS LIVES",70,47
79030,"79030A","",133,1661
79030,"79030A","smashed",-350,1661
79030,"79030A","TUMBLER, ENGLISH ROSE",171,1661
79030,"79030D","",13,1661
79030,"79030D","damages",-664,1661
79030,"79030D","TUMBLER BAROQUE",530,1661
79030,"79030D","TUMBLER, BAROQUE",491,1661
79030,"79030G","damages",-413,1661
79030,"79030G","TUMBLER NEW ENGLAND",1267,1661
79030,"79030G","TUMBLER, NEW ENGLAND",499,1661
79030,"79030G","Water damaged",-16,1661
79051,"79051a","SMOKEY GREY COLOUR D.O.F. GLASS",1,949
79051,"79051A","SMOKEY GREY COLOUR D.O.F. GLASS",714,949
79051,"79051A","SMOKEY GREY COLOUR GLASS",240,949
79051,"79051A","sold as set on dotcom",-6,949
79053,"79053A","",9,-1
79053,"79053B","",1,-1
79053,"79053D","",-11,-1
79057,"79057B","",-2,-2
79062,"79062D","",960,1012
79062,"79062D","RETRO TIN ASHTRAY,REVOLUTIONARY",52,1012
79063,"79063C","",320,3305
79063,"79063C","RETRO PILL BOX KEY CHAIN,THE KING",235,3305
79063,"79063D","",2560,3305
79063,"79063D","RETRO PILL BOX , REVOLUTIONARY",190,3305
79064,"79064C","",-1,-1
79065,"79065A","",2,3
79065,"79065A","TEATIME ROUND CAKE TINS ",3,3
79065,"79065B","",-2,3
79066,"79066k","RETRO MOD TRAY",27,1439
79066,"79066K","RETRO MOD TRAY",1412,1439
79069,"79069A","",14,14
79070,"79070b","ENGLISH ROSE SQUARE CAKE TINS",1,-2
79070,"79070B","",-3,-2
79071,"79071A","",-43,103
79071,"79071B","",-8,103
79071,"79071B","ENGLISH ROSE METAL WASTE BIN",154,103
79082,"79082C","",-2,-2
79144,"79144B","PAINTED LIGHTBULB STAR+ MOON",360,673
79144,"79144C","PAINTED LIGHTBULB RAINBOW DESIGN",313,673
79149,"79149B","SILICON STAR BULB  BLUE",32,32
79151,"79151B","SILICON CUBE 25W, BLUE",12,12
79157,"79157B","UBO-LIGHT TRIOBASE BLUE",5,10
79157,"79157V","UBO-LIGHT TRIOBASE PURPLE",5,10
79161,"79161A","",12,63
79161,"79161A","ST GEORGE SET OF 10 PARTY LIGHTS",51,63
79172,"79172D","",-11,13
79172,"79172D","PURPLE TINT ACRYLIC FLOWER VASE",24,13
79190,"79190A","RETRO PLASTIC 70'S TRAY",774,2913
79190,"79190B","RETRO PLASTIC POLKA TRAY",1487,2913
79190,"79190D","RETRO PLASTIC DAISY TRAY",652,2913
79191,"79191B","RETRO PLASTIC POLKA TRAY",453,1913
79191,"79191C","RETRO PLASTIC ELEPHANT TRAY",1335,1913
79191,"79191D","RETRO PLASTIC DAISY TRAY",125,1913
79192,"79192A","",-9,97
79192,"79192A","RETRO PLASTIC 70'S TRAY",106,97
79302,"79302C","",-1,688
79302,"79302J","",-1,688
79302,"79302m","ART LIGHTS,FUNK MONKEY",4,688
79302,"79302M","",73,688
79302,"79302M","ART LIGHTS,FUNK MONKEY",653,688
79302,"79302M","crushed",-40,688
79303,"79303A","",-4,193
79303,"79303A","WHITE ROHMBIC BLOCK TABLE LAMP",2,193
79303,"79303B","",-5,193
79303,"79303B","BLUE STAR BLOCK TABLE LAMP",109,193
79303,"79303D","",15,193
79303,"79303D","LILAC FLOWER BLOCK TABLE LAMP",76,193
79308,"79308B","",143,287
79308,"79308B","MOSAIC CANDLE DISH BLUE PURPLE",144,287
79309,"79309A","",1,1
79315,"79315B","",-3,190
79315,"79315W","",-6,190
79315,"79315W","FLYING SAUCER TABLE LIGHT IN WHITE",199,190
79323,"79323B","",-127,-9400
79323,"79323B","BLACK CHERRY LIGHTS",-5,-9400
79323,"79323B","Unsaleable, destroyed.",-1671,-9400
79323,"79323G","",870,-9400
79323,"79323G","GOLD  CHERRY LIGHTS",127,-9400
79323,"79323G","Unsaleable, destroyed.",-657,-9400
79323,"79323GR","",-240,-9400
79323,"79323GR","GREEN CHERRY LIGHTS",338,-9400
79323,"79323GR","sold as gold",-954,-9400
79323,"79323GR","Unsaleable, destroyed.",-1158,-9400
79323,"79323LP","",-8,-9400
