"stock_code","recency_days","monetary_net","frequency_completed","category"
"22172",435,4030.64,185,"Overdue Restock"
"72129",435,50.77,18,"Overdue Restock"
"85164B",435,2554.94,66,"Overdue Restock"
"21341",433,570.48,29,"Overdue Restock"
"85124A",433,1311.31,105,"Overdue Restock"
"84482",431,282.29,32,"Overdue Restock"
"22036",430,694.16,135,"Overdue Restock"
"20976",430,415.98,76,"Overdue Restock"
"84405A",430,1171.27,51,"Overdue Restock"
"72606A",429,94.92,18,"Overdue Restock"
"37492B",429,908.54,44,"Overdue Restock"
"79532",429,120.00,18,"Overdue Restock"
"79534",429,63.80,16,"Overdue Restock"
"21919",428,60.94,5,"Overdue Restock"
"85081",427,47.85,22,"Overdue Restock"
"72529W",427,891.96,48,"Overdue Restock"
"84510F",427,448.00,38,"Overdue Restock"
"21214",426,3261.99,200,"Overdue Restock"
"17165B",425,748.53,57,"Overdue Restock"
"21542",424,1662.90,190,"Overdue Restock"
"84313A",424,280.34,19,"Overdue Restock"
"72789",424,431.81,45,"Overdue Restock"
"72781",424,219.00,15,"Overdue Restock"
"44230",424,5251.15,53,"Overdue Restock"
"21532",424,1447.42,91,"Overdue Restock"
"82607A",423,1140.21,160,"Overdue Restock"
"47504E",423,992.32,48,"Overdue Restock"
"16201A",423,223.04,9,"Overdue Restock"
"35980C",422,136.06,30,"Overdue Restock"
"21241",422,1980.69,260,"Overdue Restock"
"35160",422,1594.04,56,"Overdue Restock"
"37462B",422,124.16,32,"Overdue Restock"
"84986B",421,712.13,80,"Overdue Restock"
"47568",421,5442.29,410,"Overdue Restock"
"35936",418,13.68,9,"Overdue Restock"
"21482",417,2686.07,184,"Overdue Restock"
"35981C",417,329.10,67,"Overdue Restock"
"21924",417,2586.02,123,"Overdue Restock"
"16169F",417,409.50,34,"Overdue Restock"
"82069",417,183.45,11,"Overdue Restock"
"20799",416,440.44,27,"Overdue Restock"
"21737",416,7405.17,164,"Overdue Restock"
"35937",416,71.44,17,"Overdue Restock"
"17033",416,857.69,71,"Overdue Restock"
"16245A",416,13.75,8,"Overdue Restock"
"21444",415,1036.56,36,"Overdue Restock"
"35962",414,1609.46,92,"Overdue Restock"
"84901",414,576.92,74,"Overdue Restock"
"20784",414,6131.09,39,"Overdue Restock"
"82545A",413,38.75,11,"Overdue Restock"
"84845D",413,51.25,11,"Overdue Restock"
"20943",413,664.17,71,"Overdue Restock"
"16047",411,679.09,31,"Overdue Restock"
"84664",410,935.55,51,"Overdue Restock"
"84424A",410,86.25,10,"Overdue Restock"
"35811A",410,940.16,84,"Overdue Restock"
"21010",410,1207.02,83,"Overdue Restock"
"90025C",410,37.62,6,"Overdue Restock"
"21795",410,3824.16,80,"Overdue Restock"
"90203",410,611.04,34,"Overdue Restock"
"20864",410,510.85,29,"Overdue Restock"
"21247",409,733.46,81,"Overdue Restock"
"90002B",409,97.98,11,"Overdue Restock"
"82616A",407,672.12,52,"Overdue Restock"
"22143",407,1026.56,70,"Overdue Restock"
"21611",407,2236.03,148,"Overdue Restock"
"85165",406,1586.32,59,"Overdue Restock"
"84709A",406,148.75,14,"Overdue Restock"
"21691",405,1023.42,72,"Overdue Restock"
"35594",405,138.08,39,"Overdue Restock"
"21478",403,1038.35,92,"Overdue Restock"
"82597",403,2800.69,215,"Overdue Restock"
"21146",402,1569.79,58,"Overdue Restock"
"21548",402,1972.39,107,"Overdue Restock"
"37352",402,504.55,8,"Overdue Restock"
"84967B",401,1189.45,11,"Overdue Restock"
"84966A",401,275.90,5,"Overdue Restock"
"90002A",400,135.00,14,"Overdue Restock"
"85018B",400,63.75,10,"Overdue Restock"
"21274",399,2815.78,105,"Overdue Restock"
"21350",399,644.80,42,"Overdue Restock"
"21004",399,803.89,70,"Overdue Restock"
"21596",399,85.28,9,"Overdue Restock"
"82607E",398,125.00,25,"Overdue Restock"
"20852",398,0.00,5,"Overdue Restock"
"21659",397,2131.90,66,"Overdue Restock"
"35015",396,144.32,40,"Overdue Restock"
"21330",396,2760.24,201,"Overdue Restock"
"35603C",395,49.56,25,"Overdue Restock"
"85033S",395,381.85,49,"Overdue Restock"
"85226C",394,583.42,83,"Overdue Restock"
"84509F",394,2494.20,46,"Overdue Restock"
"21590",393,4121.28,286,"Overdue Restock"
"84924D",393,299.22,16,"Overdue Restock"
"84908A",392,1313.72,36,"Overdue Restock"
"72750B",392,1010.05,39,"Overdue Restock"
"20850",392,713.80,23,"Overdue Restock"
"16212",391,341.97,38,"Overdue Restock"
"10134",391,727.46,52,"Overdue Restock"
"35931",391,78.12,15,"Overdue Restock"
"35932",391,15.63,10,"Overdue Restock"
"21282",390,1624.31,69,"Overdue Restock"
"20825",390,1258.62,8,"Overdue Restock"
"85179B",389,1113.12,45,"Overdue Restock"
"21825",389,1074.33,75,"Overdue Restock"
"72008",389,1571.80,215,"Overdue Restock"
"84984C",389,460.77,16,"Overdue Restock"
"85166B",389,929.45,38,"Overdue Restock"
"21768",389,8129.74,163,"Overdue Restock"
"21541",388,1773.68,201,"Overdue Restock"
"16053",388,128.88,10,"Overdue Restock"
"35471A",388,618.17,83,"Overdue Restock"
"84559D",388,136.93,32,"Overdue Restock"
"21765",388,3472.13,144,"Overdue Restock"
"21431",387,2737.62,279,"Overdue Restock"
"21134",387,713.73,46,"Overdue Restock"
"72793",387,262.80,10,"Overdue Restock"
"84596K",387,665.43,93,"Overdue Restock"
"35991",386,262.25,54,"Overdue Restock"
"84625D",386,794.58,51,"Overdue Restock"
"85121C",386,1098.32,53,"Overdue Restock"
"84526",386,2843.48,34,"Overdue Restock"
"35969",385,708.20,76,"Overdue Restock"
"84891B",385,119.25,6,"Overdue Restock"
"21610",385,1593.99,97,"Overdue Restock"
"84908B",385,1348.83,35,"Overdue Restock"
"21432",384,5443.82,237,"Overdue Restock"
"21017",384,713.50,87,"Overdue Restock"
"72800F",383,1090.66,67,"Overdue Restock"
"35644",383,40.95,7,"Overdue Restock"
"21805",383,1040.46,103,"Overdue Restock"
"37424",382,1019.39,108,"Overdue Restock"
"37477B",382,37.50,8,"Overdue Restock"
"22058",382,830.05,104,"Overdue Restock"
"35240",382,424.50,39,"Overdue Restock"
"20849",382,619.96,24,"Overdue Restock"
"84670",382,2134.28,182,"Overdue Restock"
"20786",381,6157.00,33,"Overdue Restock"
"72814",381,995.49,54,"Overdue Restock"
"20787",381,4634.75,33,"Overdue Restock"
"85044",381,973.70,40,"Overdue Restock"
"21283",380,1722.65,81,"Overdue Restock"
"20952",380,47.46,24,"Overdue Restock"
"90042B",379,48.45,6,"Overdue Restock"
"85226A",379,991.89,144,"Overdue Restock"
"85090",379,700.06,53,"Overdue Restock"
"90090",378,204.69,22,"Overdue Restock"
"84899F",378,276.84,53,"Overdue Restock"
"35951",378,764.47,46,"Overdue Restock"
"16169C",378,567.00,44,"Overdue Restock"
"21016",378,625.10,82,"Overdue Restock"
"90088",378,68.00,14,"Overdue Restock"
"62095B",375,317.57,21,"Overdue Restock"
"84247C",375,212.40,22,"Overdue Restock"
"47563B",375,30.00,6,"Overdue Restock"
"20958",375,90.30,10,"Overdue Restock"
"20950",375,423.81,83,"Overdue Restock"
"35633B",375,24.70,12,"Overdue Restock"
"20738",375,1332.89,75,"Overdue Restock"
"21806",374,1279.70,128,"Overdue Restock"
"21337",374,118.56,12,"Overdue Restock"
"10123G",374,107.70,16,"Overdue Restock"
"20953",374,77.55,9,"Overdue Restock"
"84007",373,438.64,39,"Overdue Restock"
"84854",373,2852.69,110,"Overdue Restock"
"21653",373,2719.34,111,"Overdue Restock"
"84875A",373,63.75,12,"Overdue Restock"
"20957",372,270.62,15,"Overdue Restock"
"82615",372,1670.69,90,"Overdue Restock"
"16161M",371,428.50,39,"Overdue Restock"
"35271S",371,87.76,20,"Overdue Restock"
"21268",371,313.74,49,"Overdue Restock"
"72803B",371,450.20,37,"Overdue Restock"
"22275",371,8392.21,313,"Overdue Restock"
"90167",369,1716.92,111,"Overdue Restock"
"84963A",369,813.30,9,"Overdue Restock"
"37509",368,68.85,14,"Overdue Restock"
"37461",368,858.13,95,"Overdue Restock"
"47579",368,482.64,55,"Overdue Restock"
"35597B",368,425.70,7,"Overdue Restock"
"84773",368,563.45,48,"Overdue Restock"
"20878",368,1071.13,85,"Overdue Restock"
"16169N",368,626.25,56,"Overdue Restock"
"84270",367,4733.10,477,"Overdue Restock"
"37474",367,742.52,44,"Overdue Restock"
"35833G",367,243.32,35,"Overdue Restock"
"85170A",366,1740.28,84,"Overdue Restock"
"21595",366,153.90,9,"Overdue Restock"
"21486",366,4806.72,294,"Overdue Restock"
"21410",366,1875.56,150,"Overdue Restock"
"84613C",366,258.06,12,"Overdue Restock"
"22528",366,8860.74,554,"Overdue Restock"
"85068",366,7167.12,197,"Overdue Restock"
"85119",366,543.80,39,"Overdue Restock"
"47503J",366,3261.45,74,"Overdue Restock"
"84975",365,3476.52,212,"Overdue Restock"
"22145",365,2926.72,197,"Overdue Restock"
"20861",364,98.70,16,"Overdue Restock"
"21538",364,1981.52,51,"Overdue Restock"
"21895",364,1880.01,85,"Overdue Restock"
"35958",364,1034.26,82,"Overdue Restock"
"21777",364,9969.72,367,"Overdue Restock"
"22765",364,3791.35,53,"Overdue Restock"
"20671",364,1177.37,143,"Overdue Restock"
"90128B",364,26.27,6,"Overdue Restock"
"35004P",363,948.78,44,"Overdue Restock"
"35609A",363,184.27,24,"Overdue Restock"
"90152B",361,40.77,5,"Overdue Restock"
"90126A",361,43.86,5,"Overdue Restock"
"35832",360,5674.30,188,"Overdue Restock"
"20860",360,44.10,11,"Overdue Restock"
"90078",360,75.28,5,"Overdue Restock"
"21160",359,599.49,58,"Overdue Restock"
"85136B",359,550.04,47,"Overdue Restock"
"37503",359,26556.41,523,"Overdue Restock"
"20871",359,2238.60,127,"Overdue Restock"
"21186",359,9320.79,369,"Overdue Restock"
"17012E",358,357.18,29,"Overdue Restock"
"20910",358,1049.44,47,"Overdue Restock"
"84620",358,832.77,50,"Overdue Restock"
"90060D",358,77.35,8,"Overdue Restock"
"22218",358,6073.82,265,"Overdue Restock"
"35001W",358,3392.33,192,"Overdue Restock"
"85031C",358,1491.51,106,"Overdue Restock"
"85031B",357,1193.38,85,"Overdue Restock"
"21491",357,5467.52,248,"Overdue Restock"
"90178B",356,215.52,11,"Overdue Restock"
"37464",356,532.29,82,"Overdue Restock"
"21009",356,1864.98,102,"Overdue Restock"
"16169P",355,523.25,48,"Overdue Restock"
"85109",354,357.67,20,"Overdue Restock"
"84802A",354,336.31,24,"Overdue Restock"
"85084",353,808.23,85,"Overdue Restock"
"21011",353,1493.47,118,"Overdue Restock"
"20892",352,1284.85,38,"Overdue Restock"
"79067",352,7554.00,397,"Overdue Restock"
"90112",350,109.00,20,"Overdue Restock"
"84499",339,324.68,41,"Overdue Restock"
"21144",338,349.59,60,"Overdue Restock"
"21412",338,442.92,67,"Overdue Restock"
"22769",338,3714.77,45,"Overdue Restock"
"79320",337,4696.96,151,"Overdue Restock"
"85042",336,11630.72,293,"Overdue Restock"
"21645",336,1686.45,133,"Overdue Restock"
"85023C",333,56.10,11,"Overdue Restock"
"72038P",333,106.00,10,"Overdue Restock"
"90042C",331,211.17,26,"Overdue Restock"
"90092",331,74.72,10,"Overdue Restock"
"17165D",330,676.02,89,"Overdue Restock"
"22323",330,1959.32,116,"Overdue Restock"
"35957",330,1683.54,148,"Overdue Restock"
"85067",329,8784.27,175,"Overdue Restock"
"85018D",328,1000.05,80,"Overdue Restock"
"21594",328,42.12,5,"Overdue Restock"
"22830",326,3898.22,18,"Overdue Restock"
"75013B",326,765.49,76,"Overdue Restock"
"21667",326,6586.20,163,"Overdue Restock"
"85055",325,1755.28,107,"Overdue Restock"
"84675",325,652.17,62,"Overdue Restock"
"21632",324,1367.19,53,"Overdue Restock"
"35607A",324,133.31,31,"Overdue Restock"
"84534B",323,929.37,191,"Overdue Restock"
"37379A",323,279.65,16,"Overdue Restock"
"21836",322,1149.03,100,"Overdue Restock"
"85206B",322,2608.40,183,"Overdue Restock"
"85118",321,1096.54,81,"Overdue Restock"
"90037A",318,86.72,12,"Overdue Restock"
"90120A",318,502.36,41,"Overdue Restock"
"22415",317,2520.15,204,"Overdue Restock"
"72815",317,1161.72,70,"Overdue Restock"
"22862",317,3736.44,221,"Overdue Restock"
"22146",317,2834.01,107,"Overdue Restock"
"20798",317,1606.35,84,"Overdue Restock"
"16206B",317,116.40,16,"Overdue Restock"
"85160A",317,1360.78,35,"Overdue Restock"
"21348",317,2116.23,133,"Overdue Restock"
"22184",316,4030.14,146,"Overdue Restock"
"17164B",316,659.04,81,"Overdue Restock"
"85047",315,6834.86,236,"Overdue Restock"
"85126",315,1110.22,34,"Overdue Restock"
"21690",312,1052.48,82,"Overdue Restock"
"84795C",311,3243.93,132,"Overdue Restock"
"72798C",309,66.62,15,"Overdue Restock"
"79192A",309,162.78,35,"Overdue Restock"
"22833",309,4313.49,13,"Overdue Restock"
"62094B",308,950.93,67,"Overdue Restock"
"84612B",307,51.00,5,"Overdue Restock"
"84614A",307,160.41,11,"Overdue Restock"
"84613A",307,97.65,12,"Overdue Restock"
"84611B",307,23.80,5,"Overdue Restock"
"84823",304,1170.05,29,"Overdue Restock"
"90120D",302,690.01,40,"Overdue Restock"
"72821",301,95.70,14,"Overdue Restock"
"21655",300,2328.38,89,"Overdue Restock"
"85232B",300,15721.45,562,"Overdue Restock"
"84803A",298,189.28,17,"Overdue Restock"
"90128D",297,38.73,7,"Overdue Restock"
"22242",296,7758.42,368,"Overdue Restock"
"21785",296,1564.06,100,"Overdue Restock"
"21910",295,1464.66,111,"Overdue Restock"
"21757",295,567.05,42,"Overdue Restock"
"16033",294,1501.32,50,"Overdue Restock"
"20857",294,386.10,73,"Overdue Restock"
"20854",292,816.84,107,"Overdue Restock"
"85092",291,680.44,24,"Overdue Restock"
"84562A",291,1675.32,78,"Overdue Restock"
"21657",291,2365.31,118,"Overdue Restock"
"21651",290,2340.47,124,"Overdue Restock"
"21681",289,2275.57,79,"Overdue Restock"
"21661",289,1708.37,98,"Overdue Restock"
"85065",289,7936.58,257,"Overdue Restock"
"21414",289,960.28,36,"Overdue Restock"
"90100",288,96.90,12,"Overdue Restock"
"62096A",287,746.13,89,"Overdue Restock"
"21692",287,1968.21,111,"Overdue Restock"
"21488",283,11655.01,359,"Overdue Restock"
"90187A",283,47.38,7,"Overdue Restock"
"84802B",283,399.93,17,"Overdue Restock"
"17001",283,297.61,23,"Overdue Restock"
"21769",282,7635.07,49,"Overdue Restock"
"20820",282,54.45,9,"Overdue Restock"
"84985A",282,1250.51,161,"Overdue Restock"
"84520B",280,8051.10,732,"Overdue Restock"
"46115B",279,54.34,22,"Overdue Restock"
"90084",278,44.20,9,"Overdue Restock"
"20960",277,2931.73,215,"Overdue Restock"
"90040A",277,323.10,34,"Overdue Restock"
"35004C",276,18432.25,380,"Overdue Restock"
"84593",276,73.75,7,"Overdue Restock"
"62096B",276,605.23,82,"Overdue Restock"
"35610C",274,89.21,9,"Overdue Restock"
"21228",274,126.39,31,"Overdue Restock"
"72140F",274,69.18,15,"Overdue Restock"
"35610B",274,144.07,14,"Overdue Restock"
"35610A",274,118.04,13,"Overdue Restock"
"35647",273,843.98,74,"Overdue Restock"
"85098B",271,1587.33,114,"Overdue Restock"
"84227",269,47.04,13,"Overdue Restock"
"21040",268,1240.25,68,"Overdue Restock"
"85195",267,271.64,17,"Overdue Restock"
"85189",267,976.01,68,"Overdue Restock"
"21826",267,2504.78,241,"Overdue Restock"
"82605",266,732.34,125,"Overdue Restock"
"84977",266,287.66,44,"Overdue Restock"
"84856L",266,1807.11,81,"Overdue Restock"
"37423",266,676.33,70,"Overdue Restock"
"21392",266,1079.61,48,"Overdue Restock"
"85206A",266,4513.12,318,"Overdue Restock"
"22021",263,2714.57,233,"Overdue Restock"
"37351",263,653.31,11,"Overdue Restock"
"77101A",263,1331.46,88,"Overdue Restock"
"90200C",262,1167.01,98,"Overdue Restock"
"84569B",262,604.36,76,"Overdue Restock"
"37330",262,959.18,28,"Overdue Restock"
"35911B",262,249.82,24,"Overdue Restock"
"21717",262,4679.96,176,"Overdue Restock"
"84678",261,1204.11,81,"Overdue Restock"
"90036F",261,280.99,15,"Overdue Restock"
"21547",261,2028.59,119,"Overdue Restock"
"21416",261,633.42,22,"Overdue Restock"
"21460",261,296.50,27,"Overdue Restock"
"84306",261,731.71,31,"Overdue Restock"
"85224",260,1190.78,61,"Overdue Restock"
"84840",259,2641.44,140,"Overdue Restock"
"84898F",259,382.10,52,"Overdue Restock"
"22764",259,3468.61,25,"Overdue Restock"
"84569C",258,714.86,89,"Overdue Restock"
"85188B",257,712.31,74,"Overdue Restock"
"37444B",256,352.84,28,"Overdue Restock"
"21393",256,875.71,43,"Overdue Restock"
"21839",256,1102.18,83,"Overdue Restock"
"37444C",256,906.12,54,"Overdue Restock"
"35910A",255,105.30,13,"Overdue Restock"
"21357",255,1965.10,211,"Overdue Restock"
"47593A",254,407.74,98,"Overdue Restock"
"21827",254,1113.59,134,"Overdue Restock"
"90024E",254,169.96,11,"Overdue Restock"
"47570B",254,10709.16,232,"Overdue Restock"
"22127",253,4185.46,157,"Overdue Restock"
"84218",253,525.37,96,"Overdue Restock"
"84313B",252,1814.34,84,"Overdue Restock"
"84596E",252,1521.02,218,"Overdue Restock"
"10123C",252,269.52,63,"Overdue Restock"
"90026B",252,76.14,7,"Overdue Restock"
"20906",249,509.33,47,"Overdue Restock"
"85063",249,5320.58,181,"Overdue Restock"
"85017A",249,984.66,175,"Overdue Restock"
"75131",248,1559.80,68,"Overdue Restock"
"21333",248,3354.89,222,"Overdue Restock"
"20681",248,5278.80,342,"Overdue Restock"
"20734",247,1860.54,117,"Overdue Restock"
"84968B",247,7981.03,138,"Overdue Restock"
"20785",247,5646.95,37,"Overdue Restock"
"84743C",247,11.25,6,"Overdue Restock"
"84801B",246,370.20,18,"Overdue Restock"
"79331",246,73.60,9,"Overdue Restock"
"84750A",245,1489.11,106,"Overdue Restock"
"35922",245,769.98,36,"Overdue Restock"
"85028S",245,612.09,33,"Overdue Restock"
"85028L",245,640.37,27,"Overdue Restock"
"84459B",245,2744.73,213,"Overdue Restock"
"85030",245,460.80,29,"Overdue Restock"
"85146",245,634.51,29,"Overdue Restock"
"90010B",243,744.34,34,"Overdue Restock"
"85064",242,8068.30,280,"Overdue Restock"
"21316",242,1275.18,47,"Overdue Restock"
"84839",242,9213.80,394,"Overdue Restock"
"85008",242,1145.74,99,"Overdue Restock"
"22168",241,5212.41,314,"Overdue Restock"
"84751B",241,107.57,19,"Overdue Restock"
"35809B",241,292.60,33,"Overdue Restock"
"85040B",241,3873.00,255,"Overdue Restock"
"84858C",240,646.44,30,"Overdue Restock"
"21100",240,4717.70,272,"Overdue Restock"
"72051S",239,322.56,54,"Overdue Restock"
"84715",239,785.38,47,"Overdue Restock"
"84799",239,507.37,31,"Overdue Restock"
"90035A",239,332.35,16,"Overdue Restock"
"90042A",239,252.73,33,"Overdue Restock"
"37482P",239,1260.30,86,"Overdue Restock"
"85031A",239,1252.68,102,"Overdue Restock"
"84856S",239,1948.12,33,"Overdue Restock"
"84462",238,117.37,14,"Overdue Restock"
"21911",238,4532.00,344,"Overdue Restock"
"85186A",238,819.86,159,"Overdue Restock"
"85167B",238,1494.28,60,"Overdue Restock"
"21736",238,443.19,28,"Overdue Restock"
"16202E",235,169.31,14,"Overdue Restock"
"16202A",235,216.65,21,"Overdue Restock"
"10002",234,6362.70,362,"Overdue Restock"
"22525",234,3331.73,330,"Overdue Restock"
"35915C",234,1055.88,83,"Overdue Restock"
"47556B",234,13663.37,454,"Overdue Restock"
"84247L",234,534.42,110,"Overdue Restock"
"85200",234,1354.23,105,"Overdue Restock"
"90104",234,167.77,49,"Overdue Restock"
"84666",233,892.70,33,"Overdue Restock"
"85027L",233,472.20,40,"Overdue Restock"
"84575A",233,92.85,13,"Overdue Restock"
"21087",233,212.94,32,"Overdue Restock"
"16202B",233,443.43,22,"Overdue Restock"
"84750B",233,1319.21,78,"Overdue Restock"
"84388",233,85.74,22,"Overdue Restock"
"22458",233,3981.33,174,"Overdue Restock"
"35920",233,317.43,24,"Overdue Restock"
"20827",232,209.36,9,"Overdue Restock"
"21320",232,1047.52,57,"Overdue Restock"
"84461",232,250.03,40,"Overdue Restock"
"17109D",231,610.06,39,"Overdue Restock"
"47013A",231,39.87,26,"Overdue Restock"
"84531B",231,172.41,43,"Overdue Restock"
"84531A",231,187.01,46,"Overdue Restock"
"85205B",231,790.51,61,"Overdue Restock"
"22861",231,564.06,50,"Overdue Restock"
"21319",231,790.01,66,"Overdue Restock"
"84745B",226,34.86,17,"Overdue Restock"
"51020A",226,463.98,51,"Overdue Restock"
"22459",226,3614.52,174,"Overdue Restock"
"22259",226,603.69,72,"Overdue Restock"
"84745A",226,30.24,15,"Overdue Restock"
"51020B",226,487.54,61,"Overdue Restock"
"21898",226,2727.74,113,"Overdue Restock"
"21897",226,2679.70,106,"Overdue Restock"
"20778",226,992.02,90,"Overdue Restock"
"85006",225,733.77,37,"Overdue Restock"
"48189",225,9839.32,279,"Overdue Restock"
"21398",225,2430.85,127,"Overdue Restock"
"84741C",225,393.28,51,"Overdue Restock"
"90005A",225,363.54,57,"Overdue Restock"
"20851",225,429.54,28,"Overdue Restock"
"85145",224,770.80,30,"Overdue Restock"
"90062",224,3688.59,109,"Overdue Restock"
"22198",222,14641.22,646,"Overdue Restock"
"37333",220,1064.80,61,"Overdue Restock"
"84689",219,764.60,40,"Overdue Restock"
"35241",219,1922.19,131,"Overdue Restock"
"21656",219,2093.33,141,"Overdue Restock"
"84916",219,778.36,58,"Overdue Restock"
"85144",219,1032.35,70,"Overdue Restock"
"84683",219,583.40,46,"Overdue Restock"
"22073",218,9745.99,477,"Overdue Restock"
"21038",218,385.26,52,"Overdue Restock"
"20818",218,325.75,30,"Overdue Restock"
"22521",217,2127.84,371,"Overdue Restock"
"22202",217,5167.15,269,"Overdue Restock"
"90040B",216,350.94,36,"Overdue Restock"
"90212B",216,220.14,28,"Overdue Restock"
"82599",215,6256.82,506,"Overdue Restock"
"22353",214,9071.38,494,"Overdue Restock"
"90002D",214,407.73,34,"Overdue Restock"
"84990",214,2104.95,193,"Overdue Restock"
"84535A",214,393.71,64,"Overdue Restock"
"21324",213,3140.62,175,"Overdue Restock"
"21318",213,980.48,93,"Overdue Restock"
"22926",213,4457.82,216,"Overdue Restock"
"22719",212,2574.67,239,"Overdue Restock"
"16244B",211,917.19,28,"Overdue Restock"
"84760S",210,434.77,36,"Overdue Restock"
"22451",210,4918.33,238,"Overdue Restock"
"21527",207,25544.74,832,"Overdue Restock"
"20803",206,1029.55,85,"Overdue Restock"
"17091A",205,1316.13,117,"Overdue Restock"
"22518",205,3284.22,270,"Overdue Restock"
"22520",205,2180.77,372,"Overdue Restock"
"21195",205,3226.64,150,"Overdue Restock"
"20826",205,290.72,14,"Overdue Restock"
"46126A",205,468.73,48,"Overdue Restock"
"47574B",205,208.25,27,"Overdue Restock"
"17011F",204,357.25,20,"Overdue Restock"
"85198",204,1517.76,51,"Overdue Restock"
"79026B",204,135.39,37,"Overdue Restock"
"85017C",204,728.27,120,"Overdue Restock"
"62043B",203,74.33,10,"Overdue Restock"
"84706D",201,521.23,16,"Overdue Restock"
"84685",201,1937.34,125,"Overdue Restock"
"84596J",200,781.99,140,"Overdue Restock"
"84563A",200,975.90,63,"Overdue Restock"
"85130A",199,1272.58,86,"Overdue Restock"
"22524",199,3266.05,299,"Overdue Restock"
"47589",199,1150.91,76,"Overdue Restock"
"85132A",199,6644.00,261,"Overdue Restock"
"16049",198,578.08,32,"Overdue Restock"
"85185D",197,788.62,67,"Overdue Restock"
"84917",197,894.21,53,"Overdue Restock"
"20801",197,1974.14,111,"Overdue Restock"
"21904",197,1071.34,145,"Overdue Restock"
"90125C",196,107.90,10,"Overdue Restock"
"71215",196,68.10,12,"Overdue Restock"
"90125E",196,84.18,17,"Overdue Restock"
"84763",195,2027.73,171,"Overdue Restock"
"21614",192,4287.64,194,"Overdue Restock"
"85016",192,2591.41,167,"Overdue Restock"
"84691",192,2358.50,236,"Overdue Restock"
"47344B",190,56.16,10,"Overdue Restock"
"90115",190,478.87,60,"Overdue Restock"
"84873A",190,2633.32,75,"Overdue Restock"
"84906",190,335.89,21,"Overdue Restock"
"84597C",189,476.16,44,"Overdue Restock"
"90185D",189,369.91,35,"Overdue Restock"
"20703",189,1925.44,169,"Overdue Restock"
"84313C",188,1823.63,74,"Overdue Restock"
"84800L",188,936.59,39,"Overdue Restock"
"79030G",188,1767.06,123,"Overdue Restock"
"21397",188,2384.94,181,"Overdue Restock"
"21399",187,1622.45,118,"Overdue Restock"
"85232A",185,1938.39,140,"Overdue Restock"
"17013D",185,627.77,31,"Overdue Restock"
"22519",185,3353.16,263,"Overdue Restock"
"40003",185,1301.69,60,"Overdue Restock"
"47341A",184,46.25,7,"Overdue Restock"
"21161",184,1951.82,206,"Overdue Restock"
"21043",184,2304.26,141,"Overdue Restock"
"84226",184,60.01,18,"Overdue Restock"
"85019C",183,587.13,26,"Overdue Restock"
"22272",183,4008.82,301,"Overdue Restock"
"35809A",182,2118.83,187,"Overdue Restock"
"16052",182,303.21,35,"Overdue Restock"
"20823",182,535.62,19,"Overdue Restock"
"16043",182,113.88,13,"Overdue Restock"
"77079",180,139.92,12,"Overdue Restock"
"23003",178,226.62,54,"Overdue Restock"
"84877A",178,228.82,17,"Overdue Restock"
"79071B",178,466.20,66,"Overdue Restock"
"90036D",178,334.28,16,"Overdue Restock"
"90026A",178,118.94,9,"Overdue Restock"
"22783",178,6355.43,45,"Overdue Restock"
"37479B",176,1180.22,34,"Overdue Restock"
"22788",176,4208.54,84,"Overdue Restock"
"85141",175,1243.43,71,"Overdue Restock"
"21095",175,343.44,40,"Overdue Restock"
"84279B",175,3269.94,215,"Overdue Restock"
"21360",172,2929.57,101,"Overdue Restock"
"20731",171,1268.54,73,"Overdue Restock"
"47013C",171,46.55,27,"Overdue Restock"
"84798B",170,482.70,10,"Overdue Restock"
"84809A",170,502.14,21,"Overdue Restock"
"85132B",170,3133.49,133,"Overdue Restock"
"18097A",169,43.35,12,"Overdue Restock"
"84925D",169,584.45,27,"Overdue Restock"
"47021G",169,712.27,70,"Overdue Restock"
"21421",169,2220.91,106,"Overdue Restock"
"62086A",168,226.20,24,"Overdue Restock"
"90065A",165,231.73,16,"Overdue Restock"
"84709B",165,1393.76,86,"Overdue Restock"
"17014A",164,228.45,16,"Overdue Restock"
"22618",163,6132.79,243,"Overdue Restock"
"21082",163,1632.66,163,"Overdue Restock"
"20716",163,2130.53,246,"Overdue Restock"
"21336",162,538.21,43,"Overdue Restock"
"90013D",162,228.72,17,"Overdue Restock"
"84597B",162,280.84,28,"Overdue Restock"
"84905",162,1623.57,105,"Overdue Restock"
"84631",161,1473.12,50,"Overdue Restock"
"20701",161,1045.48,50,"Overdue Restock"
"84865",160,829.19,49,"Overdue Restock"
"22060",160,5910.90,159,"Overdue Restock"
"75172",157,100.31,11,"Overdue Restock"
"16020C",156,199.30,39,"Overdue Restock"
"84857C",156,485.56,17,"Overdue Restock"
"22088",156,14868.81,619,"Overdue Restock"
"82095",156,903.47,48,"Overdue Restock"
"22482",156,2851.77,214,"Overdue Restock"
"21763",155,1076.05,17,"Overdue Restock"
"20941",155,1031.59,124,"Overdue Restock"
"79337",153,509.83,21,"Overdue Restock"
"84548",153,90.75,13,"Overdue Restock"
"84686",151,1357.64,76,"Overdue Restock"
"84584",151,865.65,75,"Overdue Restock"
"21781",151,11041.59,364,"Overdue Restock"
"17090D",151,105.20,28,"Overdue Restock"
"22052",150,1462.18,128,"Overdue Restock"
