"stock_code","numeric_part","trailing_letter"
"85035B",85035,"B"
"85035c",85035,"c"
"85035C",85035,"C"
"85036a",85036,"a"
"85036A",85036,"A"
"85036b",85036,"b"
"85036B",85036,"B"
"85036C",85036,"C"
"85039a",85039,"a"
"85039A",85039,"A"
"85039b",85039,"b"
"85039B",85039,"B"
"85039C",85039,"C"
"85040a",85040,"a"
"85040A",85040,"A"
"85040b",85040,"b"
"85040B",85040,"B"
"85049a",85049,"a"
"85049A",85049,"A"
"85049b",85049,"b"
"85049B",85049,"B"
"85049c",85049,"c"
"85049C",85049,"C"
"85049d",85049,"d"
"85049D",85049,"D"
"85049e",85049,"e"
"85049E",85049,"E"
"85049F",85049,"F"
"85049g",85049,"g"
"85049G",85049,"G"
"85049H",85049,"H"
"85061W",85061,"W"
"85071A",85071,"A"
"85071B",85071,"B"
"85071C",85071,"C"
"85071D",85071,"D"
"85085A",85085,"A"
"85086A",85086,"A"
"85086B",85086,"B"
"85097B",85097,"B"
"85098A",85098,"A"
"85098B",85098,"B"
"85099b",85099,"b"
"85099B",85099,"B"
"85099c",85099,"c"
"85099C",85099,"C"
"85099f",85099,"f"
"85099F",85099,"F"
"85114a",85114,"a"
"85114A",85114,"A"
"85114b",85114,"b"
"85114B",85114,"B"
"85114c",85114,"c"
"85114C",85114,"C"
"85115B",85115,"B"
"85121B",85121,"B"
"85121C",85121,"C"
"85123a",85123,"a"
"85123A",85123,"A"
"85123b",85123,"b"
"85124a",85124,"a"
"85124A",85124,"A"
"85124b",85124,"b"
"85124B",85124,"B"
"85124c",85124,"c"
"85124C",85124,"C"
"85129A",85129,"A"
"85129B",85129,"B"
"85129C",85129,"C"
"85129D",85129,"D"
"85130A",85130,"A"
"85130B",85130,"B"
"85130C",85130,"C"
"85130D",85130,"D"
"85131A",85131,"A"
"85131B",85131,"B"
"85131C",85131,"C"
"85131D",85131,"D"
"85132a",85132,"a"
"85132A",85132,"A"
"85132b",85132,"b"
"85132B",85132,"B"
"85132c",85132,"c"
"85132C",85132,"C"
"85135A",85135,"A"
"85135B",85135,"B"
"85135C",85135,"C"
"85136A",85136,"A"
"85136B",85136,"B"
"85136C",85136,"C"
"85159A",85159,"A"
"85159b",85159,"b"
"85159B",85159,"B"
"85160a",85160,"a"
"85160A",85160,"A"
"85160b",85160,"b"
"85160B",85160,"B"
"85162A",85162,"A"
"85162B",85162,"B"
"85162C",85162,"C"
"85163A",85163,"A"
"85163B",85163,"B"
"85164b",85164,"b"
"85164B",85164,"B"
"85166A",85166,"A"
"85166B",85166,"B"
"85167A",85167,"A"
"85167B",85167,"B"
"85168A",85168,"A"
"85168B",85168,"B"
"85169A",85169,"A"
"85169B",85169,"B"
"85169C",85169,"C"
"85169D",85169,"D"
"85170A",85170,"A"
"85170B",85170,"B"
"85170C",85170,"C"
"85170D",85170,"D"
"85179a",85179,"a"
"85179A",85179,"A"
"85179B",85179,"B"
"85179C",85179,"C"
"85180A",85180,"A"
"85180B",85180,"B"
"85183A",85183,"A"
"85183B",85183,"B"
"85184A",85184,"A"
"85184B",85184,"B"
"85184c",85184,"c"
"85184C",85184,"C"
"85184d",85184,"d"
"85184D",85184,"D"
"85185B",85185,"B"
"85185C",85185,"C"
"85185D",85185,"D"
"85185E",85185,"E"
"85185F",85185,"F"
"85186A",85186,"A"
"85186B",85186,"B"
"85186C",85186,"C"
"85188A",85188,"A"
"85188B",85188,"B"
"85192S",85192,"S"
"85193S",85193,"S"
"85194L",85194,"L"
"85194S",85194,"S"
"85199L",85199,"L"
"85199S",85199,"S"
"85205A",85205,"A"
"85205B",85205,"B"
"85206A",85206,"A"
"85206B",85206,"B"
"85207B",85207,"B"
"85226A",85226,"A"
"85226B",85226,"B"
"85226C",85226,"C"
"85230A",85230,"A"
"85230B",85230,"B"
"85230C",85230,"C"
"85230D",85230,"D"
"85230E",85230,"E"
"85230F",85230,"F"
"85230G",85230,"G"
"85231A",85231,"A"
"85231b",85231,"b"
"85231B",85231,"B"
"85231D",85231,"D"
"85231e",85231,"e"
"85231E",85231,"E"
"85231g",85231,"g"
"85231G",85231,"G"
"85231K",85231,"K"
"85231L",85231,"L"
"85232a",85232,"a"
"85232A",85232,"A"
"85232b",85232,"b"
"85232B",85232,"B"
"85232C",85232,"C"
"85232d",85232,"d"
"85232D",85232,"D"
"90000A",90000,"A"
"90000B",90000,"B"
"90000C",90000,"C"
"90000D",90000,"D"
"90001A",90001,"A"
"90001B",90001,"B"
"90001C",90001,"C"
"90001D",90001,"D"
"90002A",90002,"A"
"90002B",90002,"B"
"90002C",90002,"C"
"90002D",90002,"D"
"90002E",90002,"E"
"90003B",90003,"B"
"90003C",90003,"C"
"90003D",90003,"D"
"90003E",90003,"E"
"90004A",90004,"A"
"90005A",90005,"A"
"90005B",90005,"B"
"90010A",90010,"A"
"90010B",90010,"B"
"90010E",90010,"E"
"90011A",90011,"A"
"90011B",90011,"B"
"90011C",90011,"C"
"90011D",90011,"D"
"90011E",90011,"E"
"90012A",90012,"A"
"90012B",90012,"B"
"90013A",90013,"A"
"90013B",90013,"B"
"90013C",90013,"C"
"90013D",90013,"D"
"90013E",90013,"E"
"90014A",90014,"A"
"90014B",90014,"B"
"90014C",90014,"C"
"90016A",90016,"A"
"90016B",90016,"B"
"90016C",90016,"C"
"90018A",90018,"A"
"90018B",90018,"B"
"90018C",90018,"C"
"90019A",90019,"A"
"90019B",90019,"B"
"90019C",90019,"C"
"90024A",90024,"A"
"90024B",90024,"B"
"90024C",90024,"C"
"90024D",90024,"D"
"90024E",90024,"E"
"90024F",90024,"F"
"90025A",90025,"A"
"90025B",90025,"B"
"90025C",90025,"C"
"90025D",90025,"D"
"90025E",90025,"E"
"90025F",90025,"F"
"90026A",90026,"A"
"90026B",90026,"B"
"90026C",90026,"C"
"90026D",90026,"D"
"90027A",90027,"A"
"90027B",90027,"B"
"90027C",90027,"C"
"90027D",90027,"D"
"90030A",90030,"A"
"90030B",90030,"B"
"90030C",90030,"C"
"90035A",90035,"A"
"90035B",90035,"B"
"90035C",90035,"C"
"90036A",90036,"A"
"90036B",90036,"B"
"90036C",90036,"C"
"90036D",90036,"D"
"90036E",90036,"E"
"90036F",90036,"F"
"90037A",90037,"A"
"90037B",90037,"B"
"90037C",90037,"C"
"90037D",90037,"D"
"90038A",90038,"A"
"90038B",90038,"B"
"90038C",90038,"C"
"90039A",90039,"A"
"90039B",90039,"B"
"90039C",90039,"C"
"90039D",90039,"D"
"90040A",90040,"A"
"90040B",90040,"B"
"90040C",90040,"C"
"90040D",90040,"D"
"90042A",90042,"A"
"90042B",90042,"B"
"90042C",90042,"C"
"90058A",90058,"A"
"90058B",90058,"B"
"90059A",90059,"A"
"90059B",90059,"B"
"90059C",90059,"C"
"90059D",90059,"D"
"90059E",90059,"E"
"90059F",90059,"F"
"90060B",90060,"B"
"90060C",90060,"C"
"90060D",90060,"D"
"90060F",90060,"F"
"90063A",90063,"A"
"90063B",90063,"B"
"90064A",90064,"A"
"90064B",90064,"B"
"90065A",90065,"A"
"90065B",90065,"B"
"90066A",90066,"A"
"90067A",90067,"A"
"90067B",90067,"B"
"90081A",90081,"A"
"90081B",90081,"B"
"90081C",90081,"C"
"90082A",90082,"A"
"90082B",90082,"B"
"90082C",90082,"C"
"90082D",90082,"D"
"90120A",90120,"A"
"90120B",90120,"B"
"90120C",90120,"C"
"90120D",90120,"D"
"90121A",90121,"A"
"90121B",90121,"B"
"90122A",90122,"A"
"90122B",90122,"B"
"90122C",90122,"C"
"90123A",90123,"A"
"90123B",90123,"B"
"90123C",90123,"C"
"90123D",90123,"D"
"90124A",90124,"A"
"90124B",90124,"B"
"90124C",90124,"C"
"90125A",90125,"A"
"90125B",90125,"B"
"90125C",90125,"C"
"90125D",90125,"D"
"90125E",90125,"E"
"90126A",90126,"A"
"90126B",90126,"B"
"90126C",90126,"C"
"90127A",90127,"A"
"90127B",90127,"B"
"90128A",90128,"A"
"90128B",90128,"B"
"90128C",90128,"C"
"90128D",90128,"D"
"90129A",90129,"A"
"90129B",90129,"B"
"90129C",90129,"C"
"90129D",90129,"D"
"90129E",90129,"E"
"90129F",90129,"F"
"90130A",90130,"A"
"90130B",90130,"B"
"90130C",90130,"C"
"90130D",90130,"D"
"90135A",90135,"A"
"90141A",90141,"A"
"90141B",90141,"B"
"90141C",90141,"C"
"90141D",90141,"D"
"90141E",90141,"E"
"90142A",90142,"A"
"90142B",90142,"B"
"90142C",90142,"C"
"90142D",90142,"D"
"90152A",90152,"A"
"90152B",90152,"B"
"90152C",90152,"C"
"90160A",90160,"A"
"90160B",90160,"B"
"90160C",90160,"C"
"90160D",90160,"D"
"90161A",90161,"A"
"90161B",90161,"B"
"90161C",90161,"C"
"90161D",90161,"D"
"90162A",90162,"A"
"90162B",90162,"B"
"90162C",90162,"C"
"90162D",90162,"D"
"90163A",90163,"A"
"90163B",90163,"B"
"90164A",90164,"A"
"90164B",90164,"B"
"90165A",90165,"A"
"90165B",90165,"B"
"90175A",90175,"A"
"90175B",90175,"B"
"90175C",90175,"C"
"90175D",90175,"D"
"90176A",90176,"A"
"90176B",90176,"B"
"90176C",90176,"C"
"90176D",90176,"D"
"90176E",90176,"E"
"90177A",90177,"A"
"90177B",90177,"B"
"90177C",90177,"C"
"90177D",90177,"D"
"90177E",90177,"E"
"90178A",90178,"A"
"90178B",90178,"B"
"90179A",90179,"A"
"90179B",90179,"B"
"90179C",90179,"C"
"90180A",90180,"A"
"90180B",90180,"B"
"90181A",90181,"A"
"90181B",90181,"B"
"90181C",90181,"C"
"90182A",90182,"A"
"90182B",90182,"B"
"90182C",90182,"C"
"90183A",90183,"A"
"90183B",90183,"B"
"90183c",90183,"c"
"90183C",90183,"C"
"90184A",90184,"A"
"90184B",90184,"B"
"90184c",90184,"c"
"90184C",90184,"C"
"90185A",90185,"A"
"90185B",90185,"B"
"90185C",90185,"C"
"90185D",90185,"D"
"90186A",90186,"A"
"90186B",90186,"B"
"90187A",90187,"A"
"90187B",90187,"B"
"90189A",90189,"A"
"90189B",90189,"B"
"90190A",90190,"A"
"90190B",90190,"B"
"90190C",90190,"C"
"90195A",90195,"A"
"90195B",90195,"B"
"90196A",90196,"A"
"90196B",90196,"B"
"90197A",90197,"A"
"90197B",90197,"B"
"90197C",90197,"C"
"90197D",90197,"D"
"90198A",90198,"A"
"90198B",90198,"B"
"90199A",90199,"A"
"90199B",90199,"B"
"90199C",90199,"C"
"90199D",90199,"D"
"90200A",90200,"A"
"90200B",90200,"B"
"90200C",90200,"C"
"90200D",90200,"D"
"90200E",90200,"E"
"90201A",90201,"A"
"90201B",90201,"B"
"90201C",90201,"C"
"90201D",90201,"D"
"90202A",90202,"A"
"90202B",90202,"B"
"90202C",90202,"C"
"90202D",90202,"D"
"90205A",90205,"A"
"90205C",90205,"C"
"90206A",90206,"A"
"90206C",90206,"C"
"90209A",90209,"A"
"90209B",90209,"B"
"90209C",90209,"C"
"90210A",90210,"A"
"90210B",90210,"B"
"90210C",90210,"C"
"90210D",90210,"D"
"90211A",90211,"A"
"90211B",90211,"B"
"90212B",90212,"B"
"90212C",90212,"C"
"90214A",90214,"A"
"90214B",90214,"B"
"90214C",90214,"C"
"90214D",90214,"D"
"90214E",90214,"E"
"90214F",90214,"F"
"90214G",90214,"G"
"90214H",90214,"H"
"90214I",90214,"I"
"90214J",90214,"J"
"90214K",90214,"K"
"90214L",90214,"L"
"90214M",90214,"M"
"90214N",90214,"N"
"90214O",90214,"O"
"90214P",90214,"P"
"90214R",90214,"R"
"90214S",90214,"S"
"90214T",90214,"T"
"90214U",90214,"U"
"90214V",90214,"V"
"90214W",90214,"W"
"90214Y",90214,"Y"
"90214Z",90214,"Z"
